"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JSON", "comment", "blank", "total"
"c:\Programming\AI-Transcriptor\skriptor\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 660, 0, 0, 12, 55, 727
"c:\Programming\AI-Transcriptor\skriptor\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 3, 14
"c:\Programming\AI-Transcriptor\skriptor\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 5, 26
"c:\Programming\AI-Transcriptor\skriptor\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 8, 67
"c:\Programming\AI-Transcriptor\skriptor\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 4, 19
"c:\Programming\AI-Transcriptor\skriptor\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 8, 62
"c:\Programming\AI-Transcriptor\skriptor\src\db\index.ts", "TypeScript", 6, 0, 0, 0, 0, 3, 9
"c:\Programming\AI-Transcriptor\skriptor\src\db\schema.ts", "TypeScript", 81, 0, 0, 0, 1, 9, 91
"c:\Programming\AI-Transcriptor\skriptor\src\features\auth\model\query.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Programming\AI-Transcriptor\skriptor\src\features\auth\ui\auth-layout.tsx", "TypeScript JSX", 0, 75, 0, 0, 3, 4, 82
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\dashboard-header-user-menu.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 2, 43
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\dashboard-header.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 8, 102
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\dashboard-page.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 7, 87
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\dashboard\transcription-dashboard.tsx", "TypeScript JSX", 0, 142, 0, 0, 0, 8, 150
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\dashboard\transcription-stats.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 7, 62
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\manage\transcription-list-loading.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 4, 24
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\manage\transcription-list.tsx", "TypeScript JSX", 0, 195, 0, 0, 0, 9, 204
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\manage\transcription-view-loading.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 6, 42
